Uns, ﻿un
amam, amam
outros, outro
odeiam, odeiam
., .
Os, os
americanos, americano
que, que
desembarcam, desembarcam
no, no
aeroporto, aeroporto
JFK, jfk
,, ,
de, de
Nova, nova
York, york
,, ,
vindos, vindo
do, do
Brasil, brasil
,, ,
trazem, trazem
as, as
mais, mai
diversificadas, diversificada
impressões, impressõ
do, do
país, paí
., .
E, e
quase, quas
nenhuma, nenhuma
bagagem, bagagem
., .

, 

O, o
designer, design
de, de
móveis, móvei
Bob, bob
Berret, berret
,, ,
52, 52
,, ,
passou, passou
uma, uma
semana, semana
no, no
Brasil, brasil
para, para
fechar, fechar
negócios, negócio
em, em
Curitiba, curitiba
e, e
Itajaí, itajaí
., .
", "
Só, só
vou, vou
ao, ao
Brasil, brasil
por, por
causa, causa
do, do
meu, meu
trabalho, trabalho
., .
Se, se
pudesse, pudess
escolher, escolh
,, ,
evitaria, evitaria
ir, ir
para, para
lá, lá
", "
,, ,
afirmou, afirm
., .

, 

Segundo, segundo
ele, ele
o, o
motivo, motivo
é, é
um, um
só, só
:, :
violência, violência
., .
Há, há
18, 18
anos, ano
Berret, berret
viaja, viaja
ao, ao
Brasil, brasil
e, e
já, já
foi, foi
assaltado, assaltado
em, em
Porto, porto
Alegre, alegr
e, e
em, em
São, são
Paulo, paulo
,, ,
além, além
de, de
ter, ter
presenciado, presenciado
assaltos, assalto
no, no
Rio, rio
., .

, 

", "
Minha, minha
impressão, impressão
é, é
de, de
um, um
país, paí
em, em
guerra, guerra
civil, civil
constante, constant
,, ,
e, e
o, o
governo, governo
não, não
faz, faz
nada, nada
para, para
mudar, mudar
a, a
situação, situação
", "
,, ,
afirmou, afirm
Berret, berret
., .

, 

No, no
Rio, rio
,, ,
ele, ele
disse, diss
que, que
o, o
", "
truque, truqu
", "
dos, do
trombadinhas, trombadinha
é, é
pedir, pedir
para, para
engraxar, engraxar
os, os
sapatos, sapato
., .
", "
Enquanto, enquanto
o, o
turista, turista
olha, olha
os, os
sapatos, sapato
,, ,
um, um
grupo, grupo
leva, leva
o, o
dinheiro, dinheiro
e, e
até, até
o, o
relógio, relógio
., .
", "

, 

Opinião, opinião
oposta, oposta
tem, tem
o, o
casal, casal
Raymound, raymound
e, e
Alberta, alberta
Slavin, slavin
,, ,
ambos, ambo
de, de
64, 64
anos, ano
,, ,
de, de
St, st
., .
Louis, loui
(, (
Missouri, missouri
), )
., .
Eles, ele
passaram, passaram
nove, nove
dias, dia
no, no
país, paí
e, e
pensam, pensam
em, em
voltar, voltar
., .
", "
O, o
Brasil, brasil
é, é
maravilhoso, maravilhoso
", "
,, ,
afirmaram, afirmaram
., .

, 

Raymound, raymound
Slavin, slavin
é, é
médico, médico
e, e
o, o
motivo, motivo
da, da
viagem, viagem
foi, foi
um, um
encontro, encontro
profissional, profission
., .
O, o
casal, casal
afirmou, afirm
que, que
a, a
maioria, maioria
dos, do
americanos, americano
não, não
se, se
interessa, interessa
em, em
visitar, visitar
o, o
Brasil, brasil
pela, pela
distância, distância
e, e
porque, porqu
falta, falta
informação, informação
., .

, 

", "
Somos, somo
ignorantes, ignorant
sobre, sobr
o, o
Brasil, brasil
., .
Qualquer, qualquer
americano, americano
que, que
resolve, resolv
viajar, viajar
nas, na
férias, féria
pensa, pensa
primeiro, primeiro
em, em
ir, ir
à, à
Europa, europa
", "
,, ,
disse, diss
Raymound, raymound
., .

, 

O, o
casal, casal
diz, diz
ter, ter
adorado, adorado
a, a
culinária, culinária
local, local
e, e
elogiou, elogi
o, o
uso, uso
de, de
carrinhos, carrinho
gratuitos, gratuito
nos, no
aeroportos, aeroporto
,, ,
que, que
nos, no
EUA, eua
custam, custam
US$, us$
1,50, 1,50
., .

, 

