Três, ﻿Três
dias, dia
de, de
testes, teste
", "
full, full
time, time
", "
já, já
fizeram, fazer
Ayrton, Ayrton
Senna, Senna
arriscar, arriscar
uma, um
previsão, previsão
., .
O, o
novo, novo
Williams, Williams
FW16, FW16
,, ,
com, com
suspensão, suspensão
passiva, passivo
,, ,
pode, poder
ser, ser
mais, mais
rápido, rápido
que, que
o, o
carro, carro
ativo, ativo
do, de o
ano, ano
passado, passado
., .
Senna, Senna
conseguiu, conseguir
,, ,
anteontem, anteontem
,, ,
fazer, fazer
um, um
tempo, tempo
próximo, próximo
ao, a o
marcado, marcado
no, em o
treino, treino
para, para
o, o
GP, GP
de, de
Portugal, Portugal
de, de
93, 93
com, com
a, o
McLaren, McLaren
eletrônica, eletrônico
:, :
1min12s49, 1min12s49
., .
Isso, isso
com, com
um, um
carro, carro
híbrido, híbrir
,, ,
o, o
Williams, Williams
FW15, FW15
equipado, equipar
com, com
molas, mola
e, e
amortecedores, amortecedor
e, e
sem, sem
controle, controle
de, de
tração, tração
., .

, 

Algumas, algum
novidades, novidade
que, que
vêm, vir
sendo, ser
testadas, testar
pela, por o
Williams, Williams
estão, estar
agradando, agradar
o, o
brasileiro, brasileiro
., .
A, o
direção, direção
hidráulica, hidráulico
,, ,
por, por
exemplo, exemplo
,, ,
funciona, funcionar
bem, bem
e, e
deve, dever
ser, ser
adotada, adotar
em, em
definitivo, definitivo
., .

, 

Ontem, ontem
pela, por o
manhã, manhã
,, ,
Ayrton, Ayrton
deu, dar
35, 35
voltas, volta
e, e
foi, ser
de, de
novo, novo
o, o
mais, mais
rápido, rápido
do, de o
período, período
,, ,
com, com
tempo, tempo
de, de
1min12s90, 1min12s90
., .
Foi, ser
a, o
primeira, primeiro
parte, parte
de, de
um, um
teste, teste
de, de
resistência, resistência
do, de o
motor, motor
Renault, Renault
RS6, RS6
,, ,
a, o
última, último
versão, versão
do, de o
propulsor, propulsor
francês, francês
., .
Os, o
testes, teste
terminam, terminar
hoje, hoje
e, e
depois, depois
Senna, Senna
só, só
deve, dever
voltar, voltar
a, a
guiar, guiar
o, o
carro, carro
novo, novo
no, em o
final, final
de, de
fevereiro, fevereiro
., .

, 

Para, para
Senna, Senna
,, ,
o, o
acidente, acidente
com, com
o, o
finlandês, finlandês
J.J., J.J.
Lehto, Lehto
anteontem, anteontem
,, ,
nos, em o
testes, teste
da, de o
Benetton, Benetton
em, em
Silverstone, Silverstone
,, ,
foi, ser
um, um
aviso, aviso
., .
", "
Sem, sem
controle, controle
de, de
tração, tração
,, ,
os, o
carros, carro
ficaram, ficar
mais, mais
instáveis, instável
e, e
os, o
pilotos, piloto
precisam, precisar
se, se
ajustar, ajustar
a, o
essa, esse
nova, novo
realidade, realidade
., .
O, o
que, que
a, o
gente, gente
viu, ver
até, até
agora, agora
não, não
é, ser
nada, nada
diante, diante
do, de o
que, que
vem, vir
pela, por o
frente, frente
., .
Serão, Serão
mais, mais
rodadas, rodado
e, e
acidentes, acidente
,, ,
sobretudo, sobretudo
nos, em o
treinos, treino
de, de
classificação, classificação
", "
,, ,
disse, dizer
., .

, 

