Doze, ﻿doze
dos, do
180, 180
atletas, atleta
que, que
competem, competem
hoje, hoje
no, no
Ibirapuera, ibirapuera
farão, farão
teste, test
antidoping, antidop
., .

, 

O, o
material, materi
coletado, coletado
(, (
urina, urina
), )
será, será
enviado, enviado
a, a
um, um
laboratório, laboratório
credenciado, credenciado
no, no
Canadá, canadá
., .

, 

O, o
laboratório, laboratório
é, é
o, o
mesmo, mesmo
que, que
,, ,
este, est
ano, ano
,, ,
apontou, apont
resultado, resultado
positivo, positivo
de, de
doping, dope
da, da
lançadora, lançadora
do, do
dardo, dardo
brasileira, brasileira
,, ,
Sueli, sueli
Pereira, pereira
dos, do
Santos, santo
., .

, 

Durante, durant
a, a
competição, competição
,, ,
Roberto, roberto
Gesta, gesta
de, de
Mello, mello
,, ,
presidente, president
da, da
CBAt, cbat
(, (
Confederação, confederação
Brasileira, brasileira
de, de
Atletismo, atletismo
), )
,, ,
é, é
quem, quem
determinará, determinará
quais, quai
os, os
atletas, atleta
que, que
deverão, deverão
se, se
submeter, submet
ao, ao
teste, test
,, ,
que, que
seguem, seguem
regras, regra
da, da
IAAF, iaaf
., .

, 

Quarenta, quarenta
e, e
três, trê
atletas, atleta
que, que
figuram, figuram
entre, entr
os, os
dez, dez
melhores, melhor
do, do
mundo, mundo
em, em
suas, sua
especialidades, especialidad
participam, participam
das, da
provas, prova
., .

, 

Por, por
se, se
tratar, tratar
da, da
primeira, primeira
competição, competição
oficial, ofici
da, da
IAAF, iaaf
a, a
céu, céu
aberto, aberto
da, da
temporada, temporada
,, ,
dificilmente, dificilment
os, os
atletas, atleta
conseguem, conseguem
marcas, marca
extraordinárias, extraordinária
., .

, 

Este, est
ano, ano
,, ,
no, no
entanto, entanto
,, ,
os, os
atletas, atleta
têm, têm
uma, uma
motivação, motivação
extra, extra
:, :
a, a
preparação, preparação
para, para
garantir, garantir
vaga, vaga
na, na
equipe, equip
que, que
representará, representará
o, o
seu, seu
país, paí
no, no
Campeonato, campeonato
Mundial, mundial
em, em
agosto, agosto
,, ,
na, na
Suécia, suécia
., .

, 

(, (
EA, ea
), )

, 

