Sem, ﻿Sem
rodas, roda
,, ,
Curitiba, Curitiba
não, não
mostra, mostrar
a, o
sua, seu
face, face
mais, mais
moderna, moderno
., .
Mesmo, mesmo
que, que
alguns, algum
marcos, marco
possam, poder
ser, ser
vistos, ver
a, a
pé, pé
,, ,
nas, em o
paralelas, paralela
da, de o
Linha, Linha
Pinhão, Pinhão
,, ,
como, como
as, o
estações-tubo, estações-tubo
da, de o
Rede, Rede
de, de
Linhas, Linhas
Diretas, Diretas
,, ,
o, o
Ligeirinho, Ligeirinho
,, ,
e, e
a, o
Rua, Rua
24, 24
Horas, Horas
,, ,
só, só
de, de
carro, carro
ou, ou
ônibus, ônibus
se, se
conhecem, conhecer
equipamentos, equipamento
como, como
o, o
Jardim, Jardim
Botânico, Botânico
e, e
a, o
Opera, Opera
de, de
Arame, Arame
., .
Boas, Boas
idéias, idéia
não, não
custam, custar
muito, muito
dinheiro, dinheiro
., .

, 

As, o
estações, estação
do, de o
Ligeirinho, Ligeirinho
,, ,
o, o
metrô, metrô
de, de
superfície, superfície
,, ,
lembram, lembrar
antecipações, antecipação
à, a o
", "
la, la
", "
Metrópolis, Metrópolis
., .
São, ser
12, 12
linhas, linha
,, ,
81, 81
estações, estação
e, e
156, 156
ônibus, ônibus
que, que
transportam, transportar
200, 200
mil, mil
passageiros, passageiro
por, por
dia, dia
., .
Outra, outro
boa, bom
idéia, idéia
é, ser
a, o
Rua, Rua
24, 24
Horas, Horas
,, ,
galeria, galeriar
de, de
estrutura, estrutura
tubular, tubular
com, com
39, 39
lojas, loja
que, que
funciona, funcionar
dia, dia
e, e
noite, noite
e, e
garante, garantir
segurança, segurança
para, para
os, o
frequentadores, frequentador
–, –
a, o
cobertura, cobertura
isola, isol
o, o
mau, mau
tempo, tempo
., .
Fica, ficar
na, em o
rua, rua
Visconde, Visconde
de, de
Nacar, Nacar
., .

, 

O, o
novo, novo
cartão-postal, cartão-postal
da, de o
cidade, cidade
está, estar
na, em o
região, região
leste, Leste
., .
É, ser
a, a
estufa, estufa
construída, construir
em, em
tubo, tubo
metálico, metálico
e, e
vidro, vidro
do, de o
Jardim, Jardim
Botânico, Botânico
,, ,
área, área
de, de
178, 178
mil, mil
metros, metros
quadrados, quadrados
implantada, implantar
há, há
dois, dois
anos, ano
., .
A, o
estrutura, estrutura
de, de
três, três
cúpulas, cúpula
da, de o
estufa, estufa
imita, imitar
a, a
do, de o
palácio, palácio
de, de
Cristal, Cristal
,, ,
que, que
existiu, existir
em, em
Londres, Londres
,, ,
e, e
abriga, abrigar
espécies, espécie
brasileiras, brasileiro
., .
Os, o
canteiros, canteiro
à, a o
francesa, francesa
,, ,
a, o
mata, mata
com, com
araucárias, araucária
e, e
o, o
Museu, Museu
Botânico, Botânico
completam, completar
o, o
conjunto, conjunto
., .

, 

Siga, Siga
o, o
norte, norte
da, de o
bússola, Bússola
e, e
tome, tomer
a, o
rua, rua
Mateus, Mateus
Leme, Leme
., .
Novas, Novas
estruturas, estrutura
tubulares, tubular
aguardam, aguardar
o, o
visitante, visitante
nas, em o
antigas, antigo
pedreiras, pedreira
Municipal, Municipal
e, e
Gava, Gava
,, ,
hoje, hoje
o, o
Parque, Parque
das, de o
Pedreiras, Pedreiras
., .
A, o
primeira, primeiro
,, ,
desativa, desativo
em, em
1989, 1989
,, ,
transformou-se, transformour se
no, em o
Espaço, Espaço
Cultural, Cultural
Paulo, Paulo
Leminski, Leminski
no, em o
mesmo, mesmo
ano, ano
,, ,
ao, a o
ar, ar
livre, livre
., .
Um, um
exemplo, exemplo
de, de
preocupação, preocupação
ambiental, ambiental
:, :
lixo, lixo
reciclável, reciclável
foi, ser
o, o
ingresso, ingresso
para, para
um, um
show, show
de, de
Roberto, Roberto
Carlos, Carlos
., .

, 

Ao, a o
lado, lado
,, ,
fica, ficar
a, o
Ópera, Ópera
de, de
Arame, Arame
,, ,
inaugurada, inaugurar
em, em
1992, 1992
., .
A, o
construção, construção
é, ser
resultado, resultado
de, de
uma, um
rixa, rixa
entre, entre
governos, governo
., .
Em, em
dois, dois
meses, mês
,, ,
na, em o
área, área
da, de o
pedreira, pedreira
Gava, Gava
,, ,
ergueu-se, ergueur se
uma, um
estrutura, estrutura
tubular, tubular
transparente, transparente
que, que
interage, interagar
com, com
a, o
paisagem, paisagem
., .
O, o
conforto, conforto
,, ,
dizem, dizer
,, ,
não, não
é, ser
grande, grande
., .
Mas, mas
quem, quem
pensa, pensar
nisso, em isso
ao, a o
atravessar, atravessar
a, o
ponte, ponte
e, e
enxergar, enxergar
a, o
primeira, primeiro
carpa, carpa
vermelha, vermelho
?, ?
(, (
Federico, Federico
Mengozzi, Mengozzi
), )

, 

