Gerhard, ﻿gerhard
Berger, berger
,, ,
da, da
Ferrari, ferrari
,, ,
estabeleceu, estabeleceu
ontem, ontem
o, o
melhor, melhor
tempo, tempo
dos, do
quatro, quatro
dias, dia
de, de
testes, test
privados, privado
que, que
algumas, alguma
equipes, equip
da, da
F-1, f-1
realizaram, realizaram
esta, esta
semana, semana
no, no
circuito, circuito
de, de
Imola, imola
,, ,
na, na
Itália, itália
., .

, 

Berger, berger
fez, fez
o, o
tempo, tempo
de, de
1min28s48, 1min28s48
na, na
parte, part
da, da
manhã, manhã
., .
À, à
tarde, tard
,, ,
o, o
forte, fort
calor, calor
da, da
primavera, primavera
italiana, italiana
inviabilizou, inviabiliz
qualquer, qualquer
tentativa, tentativa
de, de
superação, superação
da, da
marca, marca
., .

, 

Michael, michael
Schumacher, schumach
,, ,
da, da
Benetton, benetton
,, ,
ficou, ficou
a, a
sete, sete
centésimos, centésimo
de, de
segundo, segundo
de, de
Berger, berger
e, e
teve, teve
seu, seu
teste, test
abreviado, abreviado
por, por
problemas, problema
no, no
câmbio, câmbio
de, de
seu, seu
carro, carro
., .

, 

O, o
inglês, inglê
Damon, damon
Hill, hill
,, ,
da, da
Williams, william
,, ,
fez, fez
o, o
terceiro, terceiro
tempo, tempo
do, do
dia, dia
,, ,
1min28s64, 1min28s64
., .
O, o
piloto, piloto
se, se
mostrou, mostrou
totalmente, totalment
reabilitado, reabilitado
do, do
forte, fort
acidente, acident
que, que
sofreu, sofreu
anteontem, anteontem
., .

, 

A, a
marca, marca
de, de
Berger, berger
confirma, confirma
o, o
momento, momento
de, de
ascensão, ascensão
da, da
escuderia, escuderia
italiana, italiana
,, ,
que, que
torce, torc
por, por
um, um
bom, bom
rendimento, rendimento
no, no
GP, gp
da, da
Espanha, espanha
,, ,
no, no
próximo, próximo
fim-de-semana, fim-de-semana
., .

, 

