Não, ﻿Não
houve, haver
surpresas, surpresa
na, em o
primeira, primeiro
rodada, rodada
do, de o
torneio, torneio
de, de
tênis, tênis
de, de
Roland, Roland
Garros, Garros
., .
Todos, todo
os, o
favoritos, favorito
ao, a o
título, título
venceram, vencer
suas, seu
partidas, partida
de, de
estréia, estréia
., .

, 

O, o
norte-americano, norte-americano
Andre, Andre
Agassi, Agassi
,, ,
número, número
um, um
do, de o
mundo, mundo
,, ,
derrotou, derrotar
o, o
alemão, alemão
Karsten, Karsten
Braasch, Braasch
por, por
3, 3
sets, set
a, a
0, 0
(, (
6/1, 6/1
,, ,
6/4, 6/4
e, e
6/4, 6/4
), )
., .

, 

Jim, Jim
Courier, Courier
,, ,
também, também
dos, de o
Estados, Estados
Unidos, Unidos
,, ,
derrotou, derrotar
seu, seu
parceiro, parceiro
de, de
treinamentos, treinamento
e, e
compatriota, compatriotar
Jeff, Jeff
Tarango, Tarango
por, por
3, 3
sets, set
a, a
0, 0
(, (
6/4, 6/4
,, ,
6/3, 6/3
e, e
6/3, 6/3
), )
., .

, 

O, o
austríaco, austríaco
Thomas, Thomas
Muster, Muster
venceu, vencer
o, o
francês, francês
Gerard, Gerard
Solves, Solves
por, por
3, 3
sets, set
a, a
1, 1
(, (
3/6, 3/6
,, ,
6/4, 6/4
,, ,
6/2, 6/2
e, e
6/3, 6/3
), )
., .

, 

Muster, Muster
vem, vir
sendo, ser
chamado, chamar
por, por
parte, parte
da, de o
imprensa, imprensa
e, e
alguns, algum
fãs, fã
de, de
`, `
Musterminator, Musterminator
', '
,, ,
em, em
alusão, alusão
ao, a o
filme, filme
`, `
Terminator, Terminator
', '
,, ,
o, o
`, `
Exterminador, Exterminador
do, de o
Futuro, Futuro
', '
,, ,
como, como
ficou, ficar
traduzido, traduzido
no, em o
Brasil, Brasil
., .

, 

O, o
tenista, tenista
ganhou, ganhar
,, ,
neste, em este
ano, ano
,, ,
cinco, cinco
torneios, torneio
disputados, disputar
em, em
piso, piso
de, de
saibro, saibro
,, ,
o, o
mesmo, mesmo
de, de
Roland, Roland
Garros, Garros
,, ,
um, um
piso, piso
duro, duro
,, ,
que, que
não, não
permite, permitir
que, que
a, o
bolinha, bolinha
quique, quique
com, com
velocidade, velocidade
., .

, 

No, em o
feminino, feminino
,, ,
os, o
destaques, destaque
foram, ser
as, o
vitórias, vitória
da, de o
espanhola, espanhola
Arantxa, Arantxa
Sánchez, Sánchez
e, e
da, de o
argentina, argentina
Gabriela, Gabriela
Sabatini, Sabatini
,, ,
que, que
não, não
tiveram, ter
dificuldade, dificuldade
em, em
vencer, vencer
seus, seu
jogos, jogo
por, por
2, 2
sets, set
a, a
0, 0
., .

, 

Roland, Roland
Garros, Garros
é, ser
um, um
dos, de o
quatro, quatro
maiores, grande
torneios, torneio
de, de
tênis, tênis
do, de o
mundo, mundo
_, _
um, um
dos, de o
torneios, torneio
do, de o
Grand, Grand
Slam, Slam
., .

, 

LEIA, LEIA
MAIS, MAIS

, 

Sobre, sobre
os, o
outros, outro
resultados, resultado
na, em o
pag.2, pag.2

, 

