Serão, ﻿Serão
definidas, definir
hoje, hoje
em, em
Melbourne, Melbourne
as, o
semifinalistas, semifinalista
do, de o
Aberto, Aberto
da, de o
Austrália, Austrália
., .
As, o
oito, oito
jogadoras, jogadora
que, que
entram, entrar
na, em o
quadra, quadra
central, central
do, de o
Flinders, Flinders
Park, Park
estão, estar
entre, entre
as, o
16, 16
cabeças-de-chave, cabeças-de-chave
do, de o
torneio, torneio
., .

, 

A, o
primeira, primeiro
partida, partida
será, ser
entre, entre
a, o
espanhola, espanhola
Conchita, Conchita
Martinez, Martinez
(, (
cabeça-de-chave, cabeça-de-chave
nº, nº
3, 3
), )
e, e
a, o
japonesa, japonesa
Kimiko, Kimiko
Date, Date
(, (
nº, nº
10, 10
), )
., .
Martinez, Martinez
se, se
adapta, adaptar
bem, bem
a, a
qualquer, qualquer
tipo, tipo
de, de
piso, piso
e, e
pode, poder
ser, ser
considerada, considerar
favorita, favorito
,, ,
mas, mas
Date, Date
venceu, vencer
o, o
Torneio, Torneio
de, de
Sydney, Sydney
há, há
duas, dois
semanas, semana
,, ,
eliminando, eliminando
Gabriela, Gabriela
Sabatini, Sabatini
e, e
Mary, Mary
Joe, Joe
Fernandez, Fernandez
., .
", "
É, ser
minha, meu
melhor, bom
fase, fase
", "
,, ,
diz, dizer
a, o
japonesa, japonesa
., .

, 

A, o
espanhola, espanhola
Arantxa, Arantxa
Sanchez, Sanchez
(, (
nº, nº
2, 2
), )
deve, dever
ter, ter
uma, um
partida, partida
fácil, fácil
contra, contra
a, o
búlgara, búlgara
naturalizada, naturalizado
suíça, suíço
Manuela, Manuela
Maleeva-Fragniere, Maleeva-Fragniere
(, (
nº, nº
8), 8)
., .
Sem, sem
um, um
bom, bom
voleio, voleio
,, ,
o, o
estilo, estilo
de, de
Maleeva, Maleeva
não, não
rende, render
muito, muito
no, em o
piso, piso
rápido, rápido
do, de o
Aberto, Aberto
da, de o
Austrália, Austrália
., .
Se, se
Sanchez, Sanchez
vencer, vencer
,, ,
a, o
espanhola, espanhola
vai, ir
passar, passar
a, a
ser, ser
uma, um
lembrança, lembrança
desagradável, desagradável
para, para
a, o
família, família
Maleeva, Maleeva
., .
Na, em o
rodada, rodada
anterior, anterior
,, ,
Sanchez, Sanchez
derrotou, derrotar
Magdalena, Magdalena
Maleeva, Maleeva
,, ,
irmã, irmãr
mais, mais
velha, velho
de, de
Manuela, Manuela
., .
", "
Espero, esperar
que, que
a, o
mãe, mãe
delas, de elas
não, não
fique, ficar
zangada, zangar
,, ,
mas, mas
pretendo, pretender
ganhar, ganhar
de, de
novo, novo
", "
,, ,
brincou, brincar
Sanchez, Sanchez
., .

, 

Depois, depois
,, ,
a, o
alemã, alemã
Steffi, Steffi
Graf, Graf
(, (
nº, nº
1, 1
), )
enfrenta, enfrentar
a, o
