Confirmar, ﻿confirmar
o, o
favoritismo, favoritismo
é, é
uma, uma
coisa, coisa
., .
O, o
que, que
Steffi, steffi
Graf, graf
fez, fez
na, na
quadra, quadra
central, central
do, do
Flinders, flinder
Park, park
de, de
Melbourne, melbourn
foi, foi
muito, muito
mais, mai
., .
A, a
alemã, alemã
arrasou, arras
a, a
espanhola, espanhola
Arantxa, arantxa
Sanchez, sanchez
., .
Os, os
aplausos, aplauso
ao, ao
final, final
dos, do
57, 57
minutos, minuto
de, de
jogo, jogo
saíram, saíram
mornos, morno
,, ,
quase, quas
educados, educado
., .
O, o
público, público
parecia, parecia
constrangido, constrangido
pelo, pelo
placar, placar
de, de
6/0, 6/0
e, e
6/2, 6/2
,, ,
a, a
maior, maior
superioridade, superioridad
já, já
obtida, obtida
numa, numa
final, final
feminina, feminina
do, do
Aberto, aberto
da, da
Austrália, austrália
., .
Graf, graf
,, ,
24, 24
,, ,
já, já
tinha, tinha
vencido, vencido
o, o
torneio, torneio
em, em
1988, 1988
,, ,
89, 89
e, e
90, 90
., .
Por, por
seu, seu
quarto, quarto
título, título
,, ,
ganhou, ganhou
US$, us$
328, 328
mil, mil
., .

, 

Graf, graf
chegou, chegou
à, à
final, final
sem, sem
perder, perder
um, um
único, único
set, set
., .
Nas, na
semifinais, semifinai
,, ,
nem, nem
deu, deu
bola, bola
para, para
a, a
boa, boa
fase, fase
da, da
revelação, revelação
japonesa, japonesa
Kimiko, kimiko
Date, date
,, ,
campeã, campeã
em, em
Sydney, sydney
,, ,
vencendo, vencendo
por, por
6/3, 6/3
e, e
6/3, 6/3
., .
Embora, embora
tivesse, tivess
passado, passado
por, por
dificuldades, dificuldad
diante, diant
de, de
Manuela, manuela
Maleeva, maleeva
nas, na
oitavas-de-final, oitavas-de-fin
,, ,
Sanchez, sanchez
impressionou, impression
o, o
público, público
ao, ao
humilhar, humilhar
a, a
argentina, argentina
Gabriela, gabriela
Sabatini, sabatini
com, com
contundentes, contundent
6/1, 6/1
e, e
6/2, 6/2
., .

, 

Na, na
final, final
da, da
madrugada, madrugada
de, de
ontem, ontem
,, ,
já, já
no, no
segundo, segundo
game, game
a, a
partida, partida
delineava, delineava
seu, seu
caminho, caminho
., .
Depois, depoi
de, de
Graf, graf
sacar, sacar
e, e
fazer, fazer
1/0, 1/0
,, ,
Sanchez, sanchez
foi, foi
um, um
desastre, desastr
., .
Serviu, serviu
mal, mal
e, e
entregou, entreg
o, o
game, game
de, de
bandeja, bandeja
para, para
Graf, graf
., .
A, a
alemã, alemã
confirmou, confirm
seu, seu
saque, saqu
no, no
terceiro, terceiro
game, game
e, e
pressionou, pression
Sanchez, sanchez
na, na
sequência, sequência
,, ,
devolvendo, devolvendo
os, os
serviços, serviço
nos, no
pés, pé
da, da
adversária, adversária
., .

, 

Com, com
5/0, 5/0
no, no
placar, placar
,, ,
Graf, graf
tentou, tentou
forçar, forçar
novamente, novament
as, as
devoluções, devoluçõ
para, para
aplicar, aplicar
um, um
", "
pneu, pneu
", "
na, na
espanhola, espanhola
., .
Então, então
,, ,
empurrada, empurrada
pelo, pelo
público, público
,, ,
Sanchez, sanchez
conseguiu, conseguiu
equilibrar, equilibrar
um, um
pouco, pouco
as, as
ações, açõ
e, e
pela, pela
primeira, primeira
vez, vez
empatou, empat
um, um
game, game
em, em
40/40, 40/40
., .
Depois, depoi
de, de
duas, dua
igualdades, igualdad
,, ,
Graf, graf
tirou, tirou
da, da
manga, manga
uma, uma
cruzada, cruzada
espetacular, espetacular
para, para
fechar, fechar
o, o
primeiro, primeiro
set, set
:, :
6/0, 6/0
,, ,
em, em
apenas, apena
25, 25
minutos, minuto
., .

, 

A, a
diferença, diferença
no, no
desempenho, desempenho
das, da
duas, dua
tenistas, tenista
era, era
absurda, absurda
., .
No, no
primeiro, primeiro
set, set
,, ,
Graf, graf
ganhou, ganhou
27, 27
pontos, ponto
,, ,
contra, contra
apenas, apena
12, 12
de, de
Sanchez, sanchez
., .
A, a
alemã, alemã
acertou, acert
78, 78
%, %
de, de
seus, seu
primeiros, primeiro
saques, saqu
;, ;
Sanchez, sanchez
,, ,
ridículos, ridículo
21, 21
%, %
–, –
sua, sua
média, média
no, no
torneio, torneio
,, ,
antes, ant
da, da
final, final
,, ,
era, era
de, de
64, 64
%, %
de, de
acerto, acerto
., .

, 

Graf, graf
recomeçou, recomeç
sacando, sacando
sem, sem
vacilos, vacilo
,, ,
fechando, fechando
o, o
primeiro, primeiro
game, game
da, da
segunda, segunda
série, série
., .
No, no
game, game
seguinte, seguint
,, ,
finalmente, finalment
o, o
apoio, apoio
da, da
torcida, torcida
encontrou, encontr
algum, algum
eco, eco
nas, na
ações, açõ
de, de
Sanchez, sanchez
., .
Acertando, acertando
até, até
um, um
ace, ace
,, ,
o, o
único, único
que, que
conseguiu, conseguiu
na, na
partida, partida
inteira, inteira
,, ,
a, a
espanhola, espanhola
fechou, fechou
o, o
game, game
e, e
animou, anim
as, as
arquibancadas, arquibancada
., .
Mas, ma
Graf, graf
providenciou, providenci
um, um
balde, bald
de, de
água, água
fria, fria
para, para
os, os
australianos, australiano
,, ,
confirmando, confirmando
seu, seu
serviço, serviço
., .
Em, em
seguida, seguida
,, ,
quebrou, quebrou
novamente, novament
o, o
saque, saqu
de, de
Sanchez, sanchez
e, e
abriu, abriu
vantagem, vantagem
de, de
3/1, 3/1
., .

, 

Veio, veio
então, então
o, o
grande, grand
momento, momento
do, do
jogo, jogo
., .
Com, com
toda, toda
a, a
torcida, torcida
a, a
favor, favor
,, ,
já, já
que, que
o, o
público, público
tende, tend
a, a
torcer, torcer
pelo, pelo
mais, mai
fraco, fraco
,, ,
Sanchez, sanchez
conseguiu, conseguiu
quebrar, quebrar
o, o
serviço, serviço
da, da
alemã, alemã
depois, depoi
de, de
várias, vária
igualdades, igualdad
., .
Com, com
2/3, 2/3
e, e
saque, saqu
a, a
seu, seu
favor, favor
,, ,
Sanchez, sanchez
parecia, parecia
ter, ter
descoberto, descoberto
uma, uma
brecha, brecha
para, para
equilibrar, equilibrar
a, a
partida, partida
., .
Sua, sua
esperança, esperança
durou, durou
pouco, pouco
., .
Graf, graf
ganhou, ganhou
três, trê
games, game
seguidos, seguido
,, ,
com, com
mais, mai
duas, dua
quebras, quebra
de, de
serviço, serviço
., .

, 

Fim, fim
de, de
jogo, jogo
., .
Sob, sob
os, os
aplausos, aplauso
tímidos, tímido
,, ,
Graf, graf
sorria, sorria
e, e
Sanchez, sanchez
conseguia, conseguia
conter, conter
o, o
choro, choro
., .
Na, na
cerimônia, cerimônia
de, de
premiação, premiação
,, ,
a, a
espanhola, espanhola
fez, fez
um, um
discurso, discurso
curto, curto
,, ,
prometendo, prometendo
voltar, voltar
no, no
próximo, próximo
ano, ano
para, para
tentar, tentar
o, o
título, título
., .
Com, com
o, o
troféu, troféu
nas, na
mãos, mão
e, e
o, o
tradicional, tradicion
chapéu, chapéu
marrom, marrom
do, do
vencedor, vencedor
,, ,
Graf, graf
fez, fez
os, os
agradecimentos, agradecimento
de, de
praxe, prax
ao, ao
público, público
e, e
elogiou, elogi
o, o
jogo, jogo
de, de
Sanchez, sanchez
., .
Mais, mai
do, do
que, que
nunca, nunca
,, ,
era, era
só, só
um, um
exercício, exercício
de, de
boa, boa
educação, educação
,, ,
nada, nada
mais, mai
., .

, 

