Vedete, ﻿vedet
das, da
500, 500
Milhas, milha
no, no
ano, ano
passado, passado
,, ,
o, o
motor, motor
Mercedes, merced
corre, corr
o, o
risco, risco
de, de
se, se
tornar, tornar
o, o
grande, grand
fiasco, fiasco
na, na
prova, prova
deste, dest
ano, ano
., .

, 

O, o
desempenho, desempenho
dos, do
propulsores, propulsor
nos, no
primeiros, primeiro
treinos, treino
para, para
a, a
corrida, corrida
,, ,
se, se
não, não
foi, foi
totalmente, totalment
criticado, criticado
,, ,
ao, ao
menos, meno
provocou, provoc
divergências, divergência
entre, entr
os, os
pilotos, piloto
., .

, 

No, no
fim, fim
da, da
sessão, sessão
de, de
sexta-feira, sexta-feira
,, ,
o, o
melhor, melhor
resultado, resultado
de, de
um, um
carro, carro
impulsionado, impulsionado
por, por
um, um
Mercedes, merced
em, em
toda, toda
a, a
semana, semana
foi, foi
a, a
média, média
de, de
368,96, 368,96
km/h, km/h
,, ,
obtida, obtida
pelo, pelo
brasileiro, brasileiro
Raul, raul
Boesel, boesel
., .

, 

Na, na
sua, sua
frente, frent
havia, havia
quatro, quatro
carros, carro
com, com
propulsores, propulsor
da, da
Menard, menard
,, ,
oito, oito
da, da
Ford, ford
/, /
Cosworth, cosworth
e, e
um, um
Honda, honda
., .

, 

Boesel, boesel
,, ,
no, no
entanto, entanto
,, ,
preferiu, preferiu
responsabilizar, responsabilizar
o, o
acerto, acerto
do, do
carro, carro
pela, pela
diferença, diferença
de, de
mais, mai
de, de
6,5, 6,5
km/h, km/h
entre, entr
seu, seu
Rahal, rahal
/, /
Hogan, hogan
e, e
o, o
Menard, menard
do, do
holandês, holandê
Arie, ari
Luyendyk, luyendyk
,, ,
o, o
mais, mai
rápido, rápido
nos, no
treinos, treino
., .

, 

`, `
`, `
O, o
problema, problema
é, é
de, de
chassi, chassi
., .
O, o
carro, carro
está, está
instável, instável
na, na
entrada, entrada
das, da
curvas, curva
., .
Podemos, podemo
ganhar, ganhar
uns, un
2, 2
km/h, km/h
se, se
corrigirmos, corrigirmo
isso, isso
'', ''
,, ,
afirmou, afirm
., .

, 

O, o
brasileiro, brasileiro
Gil, gil
de, de
Ferran, ferran
,, ,
da, da
Hall, hall
Racing, race
,, ,
foi, foi
mais, mai
crítico, crítico
., .
Nas, na
sessões, sessõ
livres, livr
de, de
sexta-feira, sexta-feira
,, ,
ele, ele
teve, teve
dois, doi
motores, motor
quebrados, quebrado
., .

, 

`, `
`, `
O, o
carro, carro
não, não
embala, embala
,, ,
precisa, precisa
ganhar, ganhar
mais, mai
velocidade, velocidad
nas, na
retas, reta
'', ''
,, ,
disse, diss
., .

, 

`, `
`, `
O, o
fato, fato
de, de
que, que
o, o
Mercedes, merced
só, só
colocou, coloc
alguém, alguém
na, na
14ª, 14ª
posição, posição
é, é
indicativo, indicativo
de, de
que, que
alguma, alguma
coisa, coisa
pode, pode
estar, estar
acontecendo, acontecendo
'', ''
,, ,
declarou, declar
., .

, 

Já, já
Emerson, emerson
Fittipaldi, fittipaldi
isentou, isent
a, a
Mercedes, merced
de, de
culpa, culpa
pelo, pelo
mau, mau
desempenho, desempenho
dos, do
Penske, pensk
durante, durant
a, a
semana, semana
., .

, 

`, `
`, `
Temos, temo
de, de
acertar, acertar
o, o
equilíbrio, equilíbrio
do, do
carro, carro
,, ,
na, na
aerodinâmica, aerodinâmica
e, e
suspensão, suspensão
., .
'', ''

, 

(, (
MT, mt
), )

, 

