Serão, ﻿serão
definidas, definida
hoje, hoje
em, em
Melbourne, melbourn
as, as
semifinalistas, semifinalista
do, do
Aberto, aberto
da, da
Austrália, austrália
., .
As, as
oito, oito
jogadoras, jogadora
que, que
entram, entram
na, na
quadra, quadra
central, central
do, do
Flinders, flinder
Park, park
estão, estão
entre, entr
as, as
16, 16
cabeças-de-chave, cabeças-de-chav
do, do
torneio, torneio
., .

, 

A, a
primeira, primeira
partida, partida
será, será
entre, entr
a, a
espanhola, espanhola
Conchita, conchita
Martinez, martinez
(, (
cabeça-de-chave, cabeça-de-chav
nº, nº
3, 3
), )
e, e
a, a
japonesa, japonesa
Kimiko, kimiko
Date, date
(, (
nº, nº
10, 10
), )
., .
Martinez, martinez
se, se
adapta, adapta
bem, bem
a, a
qualquer, qualquer
tipo, tipo
de, de
piso, piso
e, e
pode, pode
ser, ser
considerada, considerada
favorita, favorita
,, ,
mas, ma
Date, date
venceu, venceu
o, o
Torneio, torneio
de, de
Sydney, sydney
há, há
duas, dua
semanas, semana
,, ,
eliminando, eliminando
Gabriela, gabriela
Sabatini, sabatini
e, e
Mary, mari
Joe, joe
Fernandez, fernandez
., .
", "
É, é
minha, minha
melhor, melhor
fase, fase
", "
,, ,
diz, diz
a, a
japonesa, japonesa
., .

, 

A, a
espanhola, espanhola
Arantxa, arantxa
Sanchez, sanchez
(, (
nº, nº
2, 2
), )
deve, deve
ter, ter
uma, uma
partida, partida
fácil, fácil
contra, contra
a, a
búlgara, búlgara
naturalizada, naturalizada
suíça, suíça
Manuela, manuela
Maleeva-Fragniere, maleeva-fragnier
(, (
nº, nº
8), 8)
., .
Sem, sem
um, um
bom, bom
voleio, voleio
,, ,
o, o
estilo, estilo
de, de
Maleeva, maleeva
não, não
rende, rend
muito, muito
no, no
piso, piso
rápido, rápido
do, do
Aberto, aberto
da, da
Austrália, austrália
., .
Se, se
Sanchez, sanchez
vencer, vencer
,, ,
a, a
espanhola, espanhola
vai, vai
passar, passar
a, a
ser, ser
uma, uma
lembrança, lembrança
desagradável, desagradável
para, para
a, a
família, família
Maleeva, maleeva
., .
Na, na
rodada, rodada
anterior, anterior
,, ,
Sanchez, sanchez
derrotou, derrot
Magdalena, magdalena
Maleeva, maleeva
,, ,
irmã, irmã
mais, mai
velha, velha
de, de
Manuela, manuela
., .
", "
Espero, espero
que, que
a, a
mãe, mãe
delas, dela
não, não
fique, fiqu
zangada, zangada
,, ,
mas, ma
pretendo, pretendo
ganhar, ganhar
de, de
novo, novo
", "
,, ,
brincou, brincou
Sanchez, sanchez
., .

, 

Depois, depoi
,, ,
a, a
alemã, alemã
Steffi, steffi
Graf, graf
(, (
nº, nº
1, 1
), )
enfrenta, enfrenta
a, a
nova, nova
esperança, esperança
norte-americana, norte-americana
,, ,
Lindsay, lindsay
Davenport, davenport
(, (
nº, nº
16, 16
), )
., .
Apesar, apesar
do, do
vigor, vigor
de, de
seus, seu
17, 17
anos, ano
e, e
1,82, 1,82
m, m
,, ,
Davenport, davenport
não, não
deve, deve
resistir, resistir
ao, ao
jogo, jogo
da, da
melhor, melhor
do, do
mundo, mundo
., .
", "
Tenho, tenho
que, que
sacar, sacar
muito, muito
bem, bem
para, para
ter, ter
alguma, alguma
chance, chanc
diante, diant
de, de
Steffi, steffi
", "
,, ,
analisou, analis
Davenport, davenport
., .
Enquanto, enquanto
a, a
norte-americana, norte-americana
se, se
preocupa, preocupa
com, com
o, o
jogo, jogo
,, ,
Graf, graf
está, está
mais, mai
ocupada, ocupada
em, em
fugir, fugir
dos, do
fotógrafos, fotógrafo
em, em
Melbourne, melbourn
., .
A, a
tenista, tenista
alemã, alemã
tem, tem
reclamado, reclamado
do, do
assédio, assédio
,, ,
que, que
,, ,
segundo, segundo
ela, ela
,, ,
estaria, estaria
atrapalhando, atrapalhando
seus, seu
exercícios, exercício
físicos, físico
diários, diário
no, no
ginásio, ginásio
do, do
complexo, complexo
de, de
Flinders, flinder
Park, park
., .

, 

Fechando, fechando
as, as
oitavas-de-final, oitavas-de-fin
,, ,
a, a
partida, partida
mais, mai
equilibrada, equilibrada
da, da
rodada, rodada
,, ,
entre, entr
a, a
argentina, argentina
Gabriela, gabriela
Sabatini, sabatini
(, (
nº, nº
), )
e, e
a, a
tcheca, tcheca
Jana, jana
Novotna, novotna
(, (
nº, nº
5, 5
), )
., .
Sem, sem
dúvida, dúvida
,, ,
um, um
jogo, jogo
sem, sem
favorita, favorita
,, ,
apesar, apesar
da, da
grande, grand
maioria, maioria
da, da
torcida, torcida
australiana, australiana
apoiar, apoiar
a, a
tenista, tenista
argentina, argentina
., .

, 

Ontem, ontem
,, ,
as, as
três, trê
últimas, última
vagas, vaga
nas, na
oitavas-de-final, oitavas-de-fin
da, da
chave, chave
masculina, masculina
foram, foram
definidas, definida
., .
Thomas, thoma
Muster, muster
(, (
Áustria, áustria
), )
venceu, venceu
Alexander, alexand
Volkov, volkov
(, (
Rússia, rússia
), )
por, por
6/3, 6/3
,, ,
6/3, 6/3
e, e
6/2, 6/2
., .
O, o
marcador, marcador
aparentemente, aparentement
tranquilo, tranquilo
não, não
impediu, impediu
Muster, muster
de, de
dar, dar
seu, seu
show, show
habitual, habitu
de, de
reclamações, reclamaçõ
com, com
juízes, juíz
e, e
público, público
., .
", "
Eles, ele
sempre, sempr
me, me
tratam, tratam
mal, mal
", "
,, ,
disse, diss
Muster, muster
., .
O, o
sueco, sueco
Stefan, stefan
Edberg, edberg
,, ,
um, um
dos, do
principais, principai
favoritos, favorito
ao, ao
título, título
,, ,
derrotou, derrot
seu, seu
compatriota, compatriota
Lars, lar
Jonsson, jonsson
,, ,
vencendo, vencendo
os, os
três, trê
sets, set
pelo, pelo
placar, placar
de, de
6/4, 6/4
., .
No, no
jogo, jogo
mais, mai
equilibrado, equilibrado
do, do
dia, dia
,, ,
o, o
norte-americano, norte-americano
MaliVai, malivai
Washington, washington
eliminou, elimin
o, o
veterano, veterano
Mats, mat
Wilander, wiland
em, em
cinco, cinco
sets, set
(, (
leia, leia
texto, texto
ao, ao
lado, lado
), )
., .

, 

