Começa, ﻿Começa
hoje, hoje
em, em
Paris, Paris
a, o
93ª, 93ª
edição, edição
do, de o
Aberto, Aberto
de, de
Tênis, Tênis
da, de o
França, França
,, ,
disputado, disputar
no, em o
arborizado, arborizado
parque, parque
de, de
Roland, Roland
Garros, Garros
,, ,
que, que
receberá, receber
360, 360
mil, mil
pessoas, pessoa
nos, em o
próximos, próximo
15, 15
dias, dia
., .

, 

Roland, Roland
Garros, Garros
é, ser
um, um
dos, de o
quatro, quatro
maiores, grande
torneios, torneio
de, de
tênis, tênis
do, de o
mundo, mundo
,, ,
oferecendo, oferecer
mais, mais
de, de
US$, US$
10, 10
milhões, milhão
de, de
prêmios, prêmio
aos, a o
atletas, atleta
., .

, 

Faz, Faz
parte, parte
do, de o
chamado, chamado
Grand, Grand
Slam, Slam
,, ,
ao, a o
lado, lado
do, de o
Aberto, Aberto
da, de o
Austrália, Austrália
,, ,
de, de
Wimbledon, Wimbledon
(, (
na, em o
Inglaterra, Inglaterra
), )
e, e
do, de o
US, US
Open, Open
(, (
nos, em o
EUA, EUA
), )
., .
Mas, mas
é, ser
o, o
mais, mais
imprevisível, imprevisível
deles, de eles
., .

, 

O, o
motivo, motivo
é, ser
a, o
superfície, superfície
em, em
que, que
são, ser
disputados, disputar
os, o
jogos, jogo
., .
As, o
quadras, quadra
de, de
Roland, Roland
Garros, Garros
são, ser
de, de
saibro, saibro
(, (
também, também
chamado, chamar
de, de
`, `
`, `
terra, terra
batida, bater
'', ''
ou, ou
`, `
`, `
pó-de-tijolo, pó-de-tijolo
'', ''
), )
., .

, 

Esse, esse
tipo, tipo
de, de
piso, piso
deixa, deixar
a, o
bolinha, bolinha
quicar, quicar
com, com
pouca, pouco
velocidade, velocidade
e, e
prejudica, prejudicar
os, o
tenistas, tenista
acostumados, acostumado
a, a
quadras, quadra
`, `
`, `
duras, duro
'', ''
,, ,
de, de
piso, piso
de, de
cimento, cimento
ou, ou
borracha, borracha
., .

, 

Isso, isso
prejudica, prejudicar
principalmente, principalmente
os, o
norte-americanos, norte-americano
,, ,
que, que
crescem, crescer
jogando, jogar
em, em
quadras, quadra
duras, duro
., .

, 

Assim, assim
,, ,
o, o
Aberto, Aberto
da, de o
França, França
costuma, costumar
favorecer, favorecer
os, o
tenistas, tenista
europeus, europeu
(, (
como, como
o, o
espanhol, espanhol
Sergi, Sergi
Bruguera, Bruguera
,, ,
atual, atual
bicampeão, bicampeão
), )
,, ,
porque, porque
esse, esse
continente, continente
reúne, reunir
a, o
maioria, maioria
das, de o
quadras, quadra
de, de
saibro, saibro
do, de o
planeta, planeta
., .

, 

Na, em o
chave, chave
feminina, feminino
,, ,
as, o
três, três
primeiras, primeiro
cabeças-de-chave, cabeças-de-chave
são, ser
tenistas, tenista
européias, européia
e, e
todas, todo
podem, poder
ser, ser
apontadas, apontar
como, como
favoritas, favorito
., .

, 

Arantxa, Arantxa
Sánchez, Sánchez
(, (
Espanha, Espanha
), )
e, e
Steffi, Steffi
Graf, Graf
(, (
Alemanha, Alemanha
), )
acumulam, acumular
quatro, quatro
títulos, título
em, em
Paris, Paris
e, e
o, o
triunfo, triunfo
de, de
uma, um
delas, de ele
pode, poder
mudar, mudar
o, o
ranking, ranking
mundial, mundial
(, (
Arantxa, Arantxa
lidera, lidera
e, e
Steffi, Steffi
é, ser
a, o
segunda, segundo
), )
., .

, 

Foi, foi
no, em o
Aberto, Aberto
da, de o
França, França
do, de o
ano, ano
passado, passado
que, que
Steffi, Steffi
começou, começar
a, a
sentir, sentir
contusões, contusão
que, que
a, ela
tiraram, tirar
do, de o
topo, topo
do, de o
ranking, ranking
,, ,
que, que
ocupava, ocupar
tranquilamente, tranquilamente
desde, desde
o, o
afastamento, afastamento
de, de
Monica, Monica
Seles, Seles
., .
`, `
`, `
Vou, Vou
ressuscitar, ressuscitar
em, em
Paris, Paris
'', ''
,, ,
afirmou, afirmar
a, o
alemã, alemã
., .

, 

No, em o
entanto, entanto
,, ,
a, o
cabeça-de-chave, cabeça-de-chave
nº, nº
3, 3
é, ser
a, o
francesa, francesa
Mary, Mary
Pierce, Pierce
,, ,
que, que
no, em o
ano, ano
passado, passado
perdeu, perder
a, o
final, final
para, para
Arantxa, Arantxa
., .
Se, se
depender, depender
da, de o
torcida, torcida
enlouquecida, enlouquecido
do, de o
público, público
,, ,
Pierce, Pierce
vai, ir
chegar, chegar
de, de
novo, novo
à, a o
decisão, decisão
., .

, 

No, em o
masculino, masculino
,, ,
os, o
norte-americanos, norte-americano
Andre, Andre
Agassi, Agassi
e, e
Pete, Pete
Sampras, Sampras
são, ser
os, o
dois, dois
primeiros, primeiro
cabeças-de-chave, cabeças-de-chave
,, ,
mas, mas
seu, seu
favoritismo, favoritismo
acaba, acabar
no, em o
papel, papel
., .

, 

Pelos, Pelos
resultados, resultado
dos, de o
últimos, último
meses, mês
,, ,
o, o
