Confirmar, ﻿Confirmar
o, o
favoritismo, favoritismo
é, ser
uma, um
coisa, coisa
., .
O, o
que, que
Steffi, Steffi
Graf, Graf
fez, fazer
na, em o
quadra, quadra
central, central
do, de o
Flinders, Flinders
Park, Park
de, de
Melbourne, Melbourne
foi, ser
muito, muito
mais, mais
., .
A, o
alemã, alemã
arrasou, arrasar
a, o
espanhola, espanhola
Arantxa, Arantxa
Sanchez, Sanchez
., .
Os, o
aplausos, aplauso
ao, a o
final, final
dos, de o
57, 57
minutos, minuto
de, de
jogo, jogo
saíram, sair
mornos, morno
,, ,
quase, quase
educados, educar
., .
O, o
público, público
parecia, parecer
constrangido, constrangido
pelo, por o
placar, placar
de, de
6/0, 6/0
e, e
6/2, 6/2
,, ,
a, o
maior, grande
superioridade, superioridade
já, já
obtida, obter
numa, em um
final, final
feminina, feminino
do, de o
Aberto, Aberto
da, de o
Austrália, Austrália
., .
Graf, Graf
,, ,
24, 24
,, ,
já, já
tinha, ter
vencido, vencer
o, o
torneio, torneio
em, em
1988, 1988
,, ,
89, 89
e, e
90, 90
., .
Por, por
seu, seu
quarto, quarto
título, título
,, ,
ganhou, ganhar
US$, US$
328, 328
mil, mil
., .

, 

Graf, Graf
chegou, chegar
à, a o
final, final
sem, sem
perder, perder
um, um
único, único
set, set
., .
Nas, em o
semifinais, semifinal
,, ,
nem, nem
deu, dar
bola, bola
para, para
a, o
boa, bom
fase, fase
da, de o
revelação, revelação
japonesa, japonês
Kimiko, Kimiko
Date, Date
,, ,
campeã, campeã
em, em
Sydney, Sydney
,, ,
vencendo, vencer
por, por
6/3, 6/3
e, e
6/3, 6/3
., .
Embora, embora
tivesse, ter
passado, passar
por, por
dificuldades, dificuldade
diante, diante
de, de
Manuela, Manuela
Maleeva, Maleeva
nas, em o
oitavas-de-final, oitava-de-final
,, ,
Sanchez, Sanchez
impressionou, impressionar
o, o
público, público
ao, a o
humilhar, humilhar
a, o
argentina, argentina
Gabriela, Gabriela
Sabatini, Sabatini
com, com
contundentes, contundente
6/1, 6/1
e, e
6/2, 6/2
., .

, 

Na, em o
final, final
da, de o
madrugada, madrugada
de, de
ontem, ontem
,, ,
já, já
no, em o
segundo, segundo
game, game
a, o
partida, partida
delineava, delinear
seu, seu
caminho, caminho
., .
Depois, depois
de, de
Graf, Graf
sacar, sacar
e, e
fazer, fazer
1/0, 1/0
,, ,
Sanchez, Sanchez
foi, ser
um, um
desastre, desastre
., .
Serviu, Serviu
mal, mal
e, e
entregou, entregar
o, o
game, game
de, de
bandeja, bandeja
para, para
Graf, Graf
., .
A, o
alemã, alemã
confirmou, confirmar
seu, seu
saque, saque
no, em o
terceiro, terceiro
game, game
e, e
pressionou, pressionar
Sanchez, Sanchez
na, em o
sequência, sequência
,, ,
devolvendo, devolver
os, o
serviços, serviço
nos, em o
pés, pé
da, de o
adversária, adversária
., .

, 

Com, com
5/0, 5/0
no, em o
placar, placar
,, ,
Graf, Graf
tentou, tentar
forçar, forçar
novamente, novamente
as, o
devoluções, devolução
para, para
aplicar, aplicar
um, um
", "
pneu, pneu
", "
na, em o
espanhola, espanhola
., .
Então, então
,, ,
empurrada, empurrar
pelo, por o
público, público
,, ,
Sanchez, Sanchez
conseguiu, conseguir
equilibrar, equilibrar
um, um
pouco, pouco
as, o
ações, ação
e, e
pela, por o
primeira, primeira
vez, vez
empatou, empatar
um, um
game, game
em, em
40/40, 40/40
., .
Depois, depois
de, de
duas, dois
igualdades, igualdade
,, ,
Graf, Graf
tirou, tirar
da, de o
manga, manga
uma, um
cruzada, cruzada
espetacular, espetacular
para, para
fechar, fechar
o, o
primeiro, primeiro
set, set
:, :
6/0, 6/0
,, ,
em, em
apenas, apenas
25, 25
minutos, minuto
., .

, 

A, o
diferença, diferença
no, em o
desempenho, desempenho
das, de o
duas, dois
tenistas, tenista
era, ser
absurda, absurda
., .
No, em o
primeiro, primeiro
set, set
,, ,
Graf, Graf
ganhou, ganhar
27, 27
pontos, ponto
,, ,
contra, contra
apenas, apenas
12, 12
de, de
Sanchez, Sanchez
., .
A, o
alemã, alemã
acertou, acertar
78, 78
%, %
de, de
seus, seu
primeiros, primeiro
saques, saque
;, ;
Sanchez, Sanchez
,, ,
ridículos, ridículo
21, 21
%, %
–, –
sua, seu
média, média
no, em o
torneio, torneio
,, ,
antes, antes
da, de o
final, final
,, ,
era, ser
de, de
64, 64
%, %
de, de
acerto, acerto
., .

, 

Graf, Graf
recomeçou, recomeçar
sacando, sacar
sem, sem
vacilos, vacilo
,, ,
fechando, fechar
o, o
primeiro, primeiro
game, game
da, de o
segunda, segundo
série, série
., .
No, em o
game, game
seguinte, seguinte
,, ,
finalmente, finalmente
o, o
apoio, apoio
da, de o
torcida, torcida
encontrou, encontrar
algum, algum
eco, eco
nas, em o
ações, ação
de, de
Sanchez, Sanchez
., .
Acertando, acertar
até, até
um, um
ace, ace
,, ,
o, o
único, único
que, que
conseguiu, conseguir
na, em o
partida, partida
inteira, inteiro
,, ,
a, o
espanhola, espanhola
fechou, fechar
o, o
game, game
e, e
animou, animar
as, o
arquibancadas, arquibancada
., .
Mas, mas
Graf, Graf
providenciou, providenciar
um, um
balde, balde
de, de
água, água
fria, frio
para, para
os, o
australianos, australiano
,, ,
confirmando, confirmar
seu, seu
serviço, serviço
., .
Em, em
seguida, seguida
,, ,
quebrou, quebrar
novamente, novamente
o, o
saque, saque
de, de
Sanchez, Sanchez
e, e
abriu, abrir
vantagem, vantagem
de, de
3/1, 3/1
., .

, 

Veio, Vir
então, então
o, o
grande, grande
momento, momento
do, de o
jogo, jogo
., .
Com, com
toda, todo
a, o
torcida, torcida
a, a
favor, favor
,, ,
já, já
que, que
o, o
público, público
tende, tender
a, a
torcer, torcer
pelo, por o
mais, mais
fraco, fraco
,, ,
Sanchez, Sanchez
conseguiu, conseguir
quebrar, quebrar
o, o
serviço, serviço
da, de o
alemã, alemã
depois, depois
de, de
várias, várias
igualdades, igualdade
., .
Com, com
2/3, 2/3
e, e
saque, saque
a, a
seu, seu
favor, favor
,, ,
Sanchez, Sanchez
parecia, parecer
ter, ter
descoberto, descobrir
uma, um
brecha, brecha
para, para
equilibrar, equilibrar
a, o
partida, partida
., .
Sua, seu
esperança, esperança
durou, durar
pouco, pouco
., .
Graf, Graf
ganhou, ganhar
três, três
games, game
seguidos, seguir
,, ,
com, com
mais, mais
duas, dois
quebras, quebra
de, de
serviço, serviço
., .

, 

Fim, fim
de, de
jogo, jogo
., .
Sob, sob
os, o
aplausos, aplauso
tímidos, tímer
,, ,
Graf, Graf
sorria, sorria
e, e
Sanchez, Sanchez
conseguia, conseguir
conter, conter
o, o
choro, choro
., .
Na, em o
cerimônia, cerimônia
de, de
premiação, premiação
,, ,
a, o
espanhola, espanhola
fez, fazer
um, um
discurso, discurso
curto, curto
,, ,
prometendo, prometer
voltar, voltar
no, em o
próximo, próximo
ano, ano
para, para
tentar, tentar
o, o
título, título
., .
Com, com
o, o
troféu, troféu
nas, em o
mãos, mão
e, e
o, o
tradicional, tradicional
chapéu, chapéu
marrom, marromr
do, de o
vencedor, vencedor
,, ,
Graf, Graf
fez, fazer
os, o
agradecimentos, agradecimento
de, de
praxe, praxe
ao, a o
público, público
e, e
elogiou, elogiar
o, o
jogo, jogo
de, de
Sanchez, Sanchez
., .
Mais, mais
do, de o
que, que
nunca, nunca
,, ,
era, ser
só, só
um, um
exercício, exercício
de, de
boa, bom
educação, educação
,, ,
nada, nada
mais, mais
., .

, 

