Bismaleimide, ﻿bismaleimid
thermoset, thermoset
., .
O, o
nome, nome
é, é
estranho, estranho
,, ,
mas, ma
este, est
novíssimo, novíssimo
material, materi
de, de
fibra, fibra
de, de
carbono, carbono
seria, seria
a, a
chave, chave
do, do
sucesso, sucesso
repentino, repentino
da, da
equipe, equip
italiana, italiana
Ferrari, ferrari
na, na
atual, atual
temporada, temporada
de, de
F-1, f-1
., .

, 

Segundo, segundo
as, as
revistas, revista
`, `
`, `
AutoSprint, autosprint
'', ''
,, ,
da, da
Itália, itália
,, ,
e, e
`, `
`, `
Autosport, autosport
'', ''
,, ,
da, da
Inglaterra, inglaterra
,, ,
que, que
dedicaram, dedicaram
suas, sua
capas, capa
para, para
o, o
assunto, assunto
nesta, nesta
semana, semana
,, ,
o, o
material, materi
é, é
uma, uma
espécie, espéci
de, de
resina, resina
desenvolvida, desenvolvida
pela, pela
indústria, indústria
aeroespacial, aeroespaci
inglesa, inglesa
., .

, 

Nos, no
carros, carro
de, de
F-1, f-1
,, ,
seria, seria
utilizada, utilizada
no, no
chassi, chassi
., .
Com, com
capacidade, capacidad
para, para
resistir, resistir
a, a
altas, alta
temperaturas, temperatura
,, ,
poderia, poderia
simplificar, simplificar
a, a
parte, part
traseira, traseira
do, do
mesmo, mesmo
,, ,
tornando, tornando
o, o
carro, carro
mais, mai
leve, leve
e, e
com, com
maior, maior
capacidade, capacidad
aerodinâmica, aerodinâmica
., .

, 

O, o
inglês, inglê
John, john
Barnard, barnard
,, ,
projetista, projetista
da, da
Ferrari, ferrari
,, ,
estaria, estaria
utilizando, utilizando
o, o
novo, novo
recurso, recurso
desde, desd
o, o
início, início
deste, dest
ano, ano
,, ,
segundo, segundo
o, o
semanário, semanário
italiano, italiano
., .

, 

Já, já
a, a
revista, revista
inglesa, inglesa
questiona, questiona
se, se
Barnard, barnard
lançou, lançou
mão, mão
do, do
novo, novo
material, materi
nesta, nesta
temporada, temporada
., .

, 

As, as
duas, dua
publicações, publicaçõ
concordam, concordam
,, ,
porém, porém
,, ,
que, que
o, o
advento, advento
do, do
novo, novo
material, materi
revolucionará, revolucionará
os, os
projetos, projeto
dos, do
carros, carro
de, de
F-1, f-1
., .

, 

O, o
BMI, bmi
,, ,
sigla, sigla
que, que
designa, designa
o, o
material, materi
,, ,
estaria, estaria
sendo, sendo
estudado, estudado
também, também
por, por
outros, outro
times, time
da, da
categoria, categoria
., .

, 

