Uns, ﻿Uns
amam, amar
outros, outro
odeiam, odeer
., .
Os, o
americanos, americano
que, que
desembarcam, desembarcar
no, em o
aeroporto, aeroporto
JFK, JFK
,, ,
de, de
Nova, Nova
York, York
,, ,
vindos, vinr
do, de o
Brasil, Brasil
,, ,
trazem, trazer
as, o
mais, mais
diversificadas, diversificado
impressões, impressão
do, de o
país, país
., .
E, e
quase, quase
nenhuma, nenhum
bagagem, bagagem
., .

, 

O, o
designer, designer
de, de
móveis, móvel
Bob, Bob
Berret, Berret
,, ,
52, 52
,, ,
passou, passar
uma, um
semana, semana
no, em o
Brasil, Brasil
para, para
fechar, fechar
negócios, negócio
em, em
Curitiba, Curitiba
e, e
Itajaí, Itajaí
., .
", "
Só, só
vou, ir
ao, a o
Brasil, Brasil
por, por
causa, causa
do, de o
meu, meu
trabalho, trabalho
., .
Se, se
pudesse, poder
escolher, escolher
,, ,
evitaria, evitar
ir, ir
para, para
lá, lá
", "
,, ,
afirmou, afirmar
., .

, 

Segundo, segundo
ele, ele
o, o
motivo, motivo
é, ser
um, um
só, só
:, :
violência, violência
., .
Há, haver
18, 18
anos, ano
Berret, Berret
viaja, viajar
ao, a o
Brasil, Brasil
e, e
já, já
foi, ser
assaltado, assaltar
em, em
Porto, Porto
Alegre, Alegre
e, e
em, em
São, São
Paulo, Paulo
,, ,
além, além
de, de
ter, ter
presenciado, presenciar
assaltos, assalto
no, em o
Rio, Rio
., .

, 

", "
Minha, Minha
impressão, impressão
é, ser
de, de
um, um
país, país
em, em
guerra, guerra
civil, civil
constante, constante
,, ,
e, e
o, o
governo, governo
não, não
faz, fazer
nada, nada
para, para
mudar, mudar
a, o
situação, situação
", "
,, ,
afirmou, afirmar
Berret, Berret
., .

, 

No, em o
Rio, Rio
,, ,
ele, ele
disse, dizer
que, que
o, o
", "
truque, truque
", "
dos, de o
trombadinhas, trombadinha
é, ser
pedir, pedir
para, para
engraxar, engraxar
os, o
sapatos, sapato
., .
", "
Enquanto, enquanto
o, o
turista, turista
olha, olhar
os, o
sapatos, sapato
,, ,
um, um
grupo, grupo
leva, levar
o, o
dinheiro, dinheiro
e, e
até, até
o, o
relógio, relógio
., .
", "

, 

Opinião, opinião
oposta, oposto
tem, ter
o, o
casal, casal
Raymound, Raymound
e, e
Alberta, Alberta
Slavin, Slavin
,, ,
ambos, ambos
de, de
64, 64
anos, ano
,, ,
de, de
St, St
., .
Louis, Louis
(, (
Missouri, Missouri
), )
., .
Eles, eles
passaram, passar
nove, nove
dias, dia
no, em o
país, país
e, e
pensam, pensar
em, em
voltar, voltar
., .
", "
O, o
Brasil, Brasil
é, ser
maravilhoso, maravilhoso
", "
,, ,
afirmaram, afirmar
., .

, 

Raymound, Raymound
Slavin, Slavin
é, ser
médico, médico
e, e
o, o
motivo, motivo
da, de o
viagem, viagem
foi, ser
um, um
encontro, encontro
profissional, profissional
., .
O, o
casal, casal
afirmou, afirmar
que, que
a, o
maioria, maioria
dos, de o
americanos, americano
não, não
se, se
interessa, interessar
em, em
visitar, visitar
o, o
Brasil, Brasil
pela, por o
distância, distância
e, e
porque, porque
falta, faltar
informação, informação
., .

, 

", "
Somos, Somos
ignorantes, ignorante
sobre, sobre
o, o
Brasil, Brasil
., .
Qualquer, qualquer
americano, americano
que, que
resolve, resolver
viajar, viajar
nas, em o
férias, férias
pensa, pensar
primeiro, primeiro
em, em
ir, ir
à, a o
Europa, Europa
", "
,, ,
disse, dizer
Raymound, Raymound
., .

, 

O, o
casal, casal
diz, dizer
ter, ter
adorado, adorar
a, o
culinária, culinária
local, local
e, e
elogiou, elogiar
o, o
uso, uso
de, de
carrinhos, carrinho
gratuitos, gratuito
nos, em o
aeroportos, aeroporto
,, ,
que, que
nos, em o
EUA, EUA
custam, custar
US$, US$
1,50, 1,50
., .

, 

