Doze, ﻿Doze
dos, de o
180, 180
atletas, atleta
que, que
competem, competer
hoje, hoje
no, em o
Ibirapuera, Ibirapuera
farão, farão
teste, teste
antidoping, antidoping
., .

, 

O, o
material, material
coletado, coletar
(, (
urina, urina
), )
será, ser
enviado, enviar
a, a
um, um
laboratório, laboratório
credenciado, credenciar
no, em o
Canadá, Canadá
., .

, 

O, o
laboratório, laboratório
é, ser
o, o
mesmo, mesmo
que, que
,, ,
este, este
ano, ano
,, ,
apontou, apontar
resultado, resultado
positivo, positivo
de, de
doping, doping
da, de o
lançadora, lançadora
do, de o
dardo, dardo
brasileira, brasileiro
,, ,
Sueli, Sueli
Pereira, Pereira
dos, de o
Santos, Santos
., .

, 

Durante, durante
a, o
competição, competição
,, ,
Roberto, Roberto
Gesta, Gesta
de, de
Mello, Mello
,, ,
presidente, presidente
da, de o
CBAt, CBAt
(, (
Confederação, Confederação
Brasileira, Brasileira
de, de
Atletismo, Atletismo
), )
,, ,
é, ser
quem, quem
determinará, determinar
quais, qual
os, o
atletas, atleta
que, que
deverão, dever
se, se
submeter, submeter
ao, a o
teste, teste
,, ,
que, que
seguem, seguir
regras, regra
da, de o
IAAF, IAAF
., .

, 

Quarenta, quarenta
e, e
três, três
atletas, atleta
que, que
figuram, figurar
entre, entre
os, o
dez, dez
melhores, bom
do, de o
mundo, mundo
em, em
suas, seu
especialidades, especialidade
participam, participar
das, de o
provas, prova
., .

, 

Por, por
se, se
tratar, tratar
da, de o
primeira, primeiro
competição, competição
oficial, oficial
da, de o
IAAF, IAAF
a, a
céu, céu
aberto, aberto
da, de o
temporada, temporada
,, ,
dificilmente, dificilmente
os, o
atletas, atleta
conseguem, conseguir
marcas, marca
extraordinárias, extraordinário
., .

, 

Este, este
ano, ano
,, ,
no, em o
entanto, entanto
,, ,
os, o
atletas, atleta
têm, ter
uma, um
motivação, motivação
extra, extra
:, :
a, o
preparação, preparação
para, para
garantir, garantir
vaga, vaga
na, em o
equipe, equipe
que, que
representará, representar
o, o
seu, seu
país, país
no, em o
Campeonato, Campeonato
Mundial, Mundial
em, em
agosto, agosto
,, ,
na, em o
Suécia, Suécia
., .

, 

(, (
EA, EA
), )

, 

