Um, ﻿Um
treino, treino
de, de
repescagem, repescagem
deverá, dever
definir, definir
hoje, hoje
o, o
grid, grid
provisório, provisório
para, para
as, o
500, 500
Milhas, milha
de, de
Indianápolis, Indianápolis
,, ,
a, o
prova, prova
mais, mais
tradicional, tradicional
do, de o
automobilismo, automobilismo
e, e
sexta, sexto
etapa, etapa
da, de o
Indy, Indy
95, 95
,, ,
programada, programar
para, para
o, o
dia, dia
28, 28
., .

, 

Ontem, ontem
estava, estar
previsto, previsto
o, o
`, `
`, `
pole, pole
day, day
'', ''
,, ,
que, que
define, definir
as, o
primeiras, primeiro
colocações, colocação
do, de o
grid, grid
., .
Elas, elas
dificilmente, dificilmente
se, se
alteram, alterar
até, até
a, o
corrida, corrida
,, ,
marcada, marcar
para, para
o, o
dia, dia
28, 28
de, de
maio, maio
., .
Mas, mas
a, o
chuva, chuva
que, que
caia, cair
ontem, ontem
no, em o
circuito, circuito
poderia, poder
adiar, adiar
o, o
`, `
`, `
pole, pole
day, day
'', ''
., .

, 

O, o
mecanismo, mecanismo
de, de
classificação, classificação
para, para
Indianápolis, Indianápolis
é, ser
complexo, complexo
e, e
o, o
regulamento, regulamento
difere, diferir
do, de o
das, de o
demais, demais
provas, prova
do, de o
campeonato, campeonato
da, de o
Indy, Indy
., .

, 

A, o
formação, formação
do, de o
grid, grid
funciona, funcionar
assim, assim
:, :
cada, cada
carro, carro
dá, dar
quatro, quatro
voltas, volta
rápidas, rápir
na, em o
pista, pista
oval, oval
de, de
2,5, 2,5
milhas, milha
(, (
cerca, cerca
de, de
4, 4
km, km
), )
de, de
Indianápolis, Indianápolis
., .

, 

A, o
velocidade, velocidade
média, médio
dessas, de esse
quatro, quatro
voltas, volta
é, ser
a, o
que, que
vale, valer
para, para
efeito, efeito
de, de
classificação, classificação
., .

, 

No, em o
`, `
`, `
pole, pole
day, day
'', ''
,, ,
o, o
carro, carro
com, com
a, o
melhor, bom
média, média
é, ser
o, o
pole, pole
position, position
,, ,
o, o
que, que
larga, largar
na, em o
frente, frente
(, (
são, ser
33, 33
carros, carro
que, que
largam, largar
nas, em o
500, 500
Milhas, milha
), )
., .

, 

O, o
segundo, segundo
melhor, bom
tempo, tempo
fica, ficar
com, com
o, o
segundo, segundo
lugar, lugar
,, ,
o, o
terceiro, terceiro
tempo, tempo
com, com
a, o
terceira, terceiro
colocação, colocação
e, e
assim, assim
sucessivamente, sucessivamente
., .

, 

Muitas, muitas
vezes, vez
,, ,
porém, porém
,, ,
ocorre, ocorrer
de, de
não, não
se, se
completarem, completar
todas, todo
as, o
33, 33
posições, posição
do, de o
grid, grid
., .

, 

Os, o
pilotos, piloto
que, que
consideram, considerar
seu, seu
tempo, tempo
no, em o
`, `
`, `
pole, pole
day, day
'', ''
um, um
mau, mau
resultado, resultado
podem, poder
abortar, abortar
o, o
resultado, resultado
e, e
ir, ir
para, para
a, o
repescagem, repescagem
., .

, 

Na, em o
primeira, primeiro
repescagem, repescagem
,, ,
que, que
acontece, acontecer
hoje, hoje
,, ,
o, o
carro, carro
com, com
a, o
melhor, bom
média, média
